date,open,close,high,low
18.02.2014,142.83,142.93,142.95,142.83
17.02.2014,142.77,142.87,142.87,142.77
14.02.2014,142.77,142.80,142.80,142.77
13.02.2014,142.70,142.74,142.84,142.67
12.02.2014,142.72,142.71,142.77,142.71
11.02.2014,142.75,142.75,142.76,142.75
10.02.2014,142.79,142.79,142.81,142.79
07.02.2014,142.80,142.80,142.80,142.75
06.02.2014,142.76,142.70,142.80,142.70
05.02.2014,142.76,142.80,142.84,142.76
04.02.2014,142.67,142.72,142.72,142.67
03.02.2014,142.59,142.68,142.70,142.59
31.01.2014,142.51,142.65,142.65,142.51
30.01.2014,142.45,142.49,142.49,142.44
29.01.2014,142.46,142.38,142.46,142.38
28.01.2014,142.29,142.42,142.43,142.29
27.01.2014,142.33,142.29,142.35,142.29
24.01.2014,142.38,142.37,142.38,142.35
23.01.2014,142.42,142.35,142.42,142.35
22.01.2014,142.37,142.47,142.48,142.37
21.01.2014,142.39,142.43,142.43,142.39
20.01.2014,142.35,142.44,142.45,142.35
17.01.2014,142.44,142.35,142.45,142.35
16.01.2014,142.42,142.34,142.44,142.34
15.01.2014,142.30,142.40,142.44,142.30
14.01.2014,142.33,142.40,142.42,142.33
13.01.2014,142.56,142.41,142.56,142.22
10.01.2014,142.35,142.22,142.39,142.22
09.01.2014,142.35,142.39,142.41,142.35
08.01.2014,142.35,142.34,142.39,142.34
07.01.2014,142.36,142.34,142.36,142.34
06.01.2014,142.30,142.18,142.30,142.18
03.01.2014,142.12,142.25,142.30,142.12
02.01.2014,142.11,142.19,142.19,142.09
30.12.2013,141.73,141.83,141.83,141.73
27.12.2013,141.74,141.73,141.77,141.73
23.12.2013,141.85,141.78,141.87,141.78
20.12.2013,141.87,141.89,141.93,141.87
19.12.2013,141.85,141.87,141.97,141.85
18.12.2013,141.88,141.89,141.97,141.88
17.12.2013,141.87,142.02,142.02,141.87
16.12.2013,141.92,141.93,141.93,141.92
13.12.2013,141.85,141.89,141.91,141.85
12.12.2013,141.88,141.89,141.90,141.88
