date,open,close,high,low
03.04.2013,181.09,181.14,181.22,181.09
02.04.2013,180.69,180.75,180.75,180.69
28.03.2013,180.70,180.73,180.83,180.70
27.03.2013,180.45,180.78,180.89,180.45
26.03.2013,180.46,180.45,180.53,180.38
25.03.2013,180.64,180.47,180.64,180.30
22.03.2013,180.69,180.39,180.75,180.39
21.03.2013,179.98,180.50,180.55,179.98
20.03.2013,180.27,179.95,180.27,179.87
19.03.2013,180.09,180.27,180.39,179.96
18.03.2013,179.79,179.90,179.98,179.79
15.03.2013,179.27,179.59,179.59,179.27
14.03.2013,179.13,179.18,179.35,179.13
13.03.2013,179.39,179.48,179.48,179.39
12.03.2013,178.87,179.23,179.33,178.87
11.03.2013,179.07,178.99,179.13,178.99
08.03.2013,178.83,178.80,179.10,178.80
07.03.2013,178.97,178.87,179.33,178.87
06.03.2013,178.93,178.95,179.03,178.93
05.03.2013,179.00,178.79,179.00,178.79
04.03.2013,179.02,179.13,179.13,179.02
01.03.2013,178.51,178.98,178.98,178.51
28.02.2013,178.26,178.50,178.59,178.26
27.02.2013,178.07,178.40,178.55,178.07
26.02.2013,177.97,178.08,178.08,177.93
25.02.2013,177.42,177.56,177.60,177.42
22.02.2013,177.39,177.54,177.61,177.26
21.02.2013,176.90,177.29,177.39,176.90
20.02.2013,176.79,176.58,176.79,176.53
19.02.2013,176.87,176.90,176.90,176.85
18.02.2013,176.48,176.79,176.87,176.48
15.02.2013,176.69,176.48,176.98,176.47
14.02.2013,176.28,176.68,176.68,176.28
13.02.2013,176.33,176.26,176.47,176.07
12.02.2013,176.49,176.41,176.65,176.41
11.02.2013,176.59,176.45,176.64,176.45
08.02.2013,176.72,176.57,176.87,176.56
07.02.2013,176.03,176.58,176.58,175.96
06.02.2013,176.25,176.03,176.37,176.03
05.02.2013,176.25,176.05,176.32,176.05
04.02.2013,175.98,176.32,176.36,175.83
01.02.2013,176.12,176.39,176.39,176.12
31.01.2013,176.04,176.23,176.23,176.04
30.01.2013,176.01,175.75,176.05,175.72
29.01.2013,176.14,176.10,176.45,176.10
28.01.2013,176.57,176.05,176.70,175.92
25.01.2013,177.54,176.70,177.66,176.70
24.01.2013,178.02,177.51,178.15,177.45
23.01.2013,177.38,177.59,177.59,177.38
22.01.2013,176.87,177.28,177.28,176.79
21.01.2013,177.39,177.01,177.39,177.01
18.01.2013,176.83,177.48,177.48,176.72
17.01.2013,177.73,176.89,177.73,176.89
16.01.2013,177.48,177.67,177.70,177.48
15.01.2013,177.22,177.58,177.66,177.22
14.01.2013,177.31,177.26,177.41,177.20
11.01.2013,177.16,177.04,177.39,177.04
10.01.2013,177.75,177.21,177.89,177.21
09.01.2013,177.55,177.86,177.87,177.55
08.01.2013,177.43,177.68,177.68,177.43
07.01.2013,177.36,177.40,177.40,177.36
04.01.2013,177.50,177.20,177.50,177.12
03.01.2013,178.29,177.88,178.29,177.84
02.01.2013,178.53,178.22,178.53,178.22
28.12.2012,179.17,179.29,179.29,179.17
27.12.2012,178.83,179.19,179.26,178.77
21.12.2012,178.63,178.83,178.84,178.62
20.12.2012,178.39,178.49,178.51,178.39
19.12.2012,178.01,178.05,178.18,177.99
18.12.2012,178.34,178.16,178.52,178.16
17.12.2012,178.63,178.49,178.65,178.49
14.12.2012,178.60,178.72,178.87,178.60
13.12.2012,178.89,178.86,179.18,178.86
12.12.2012,178.73,178.89,178.94,178.73
11.12.2012,178.90,178.82,178.96,178.77
10.12.2012,179.20,178.95,179.27,178.94
07.12.2012,178.79,179.17,179.23,178.79
06.12.2012,178.58,178.94,178.94,178.41
05.12.2012,178.04,178.53,178.64,177.98
